               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.031468,           0.0073009,                   0,             0.99169,             0.99197,             0.99407,             0.71459,            0.014664,           0.0025362,                   0,            0.067017,          0.00033317,          0.00033317
                   1,            0.024328,           0.0052334,                   0,             0.99429,             0.99631,             0.99436,             0.72859,            0.013661,            0.002401,                   0,            0.033951,          0.00060052,          0.00060052
                   2,            0.023079,           0.0050804,                   0,             0.99781,               0.998,             0.99489,              0.7435,            0.013192,           0.0023761,                   0,          0.00081853,          0.00080187,          0.00080187
                   3,            0.022596,           0.0050354,                   0,             0.99672,             0.99802,             0.99492,             0.74896,            0.012655,           0.0022922,                   0,            0.000703,            0.000703,            0.000703
                   4,             0.02224,           0.0049611,                   0,               0.998,             0.99885,             0.99497,              0.7508,            0.012528,           0.0023343,                   0,            0.000703,            0.000703,            0.000703
                   5,            0.021855,           0.0049079,                   0,             0.99795,             0.99882,             0.99497,             0.75453,            0.012464,           0.0023345,                   0,            0.000604,            0.000604,            0.000604
                   6,            0.021418,           0.0048444,                   0,             0.99828,             0.99907,             0.99497,             0.75871,            0.012434,           0.0023493,                   0,            0.000505,            0.000505,            0.000505
                   7,            0.020975,           0.0047619,                   0,             0.99852,             0.99904,             0.99498,             0.76232,            0.012404,           0.0023538,                   0,            0.000406,            0.000406,            0.000406
                   8,            0.020547,             0.00468,                   0,             0.99851,              0.9992,             0.99499,             0.76547,            0.012367,           0.0023548,                   0,            0.000307,            0.000307,            0.000307
                   9,            0.020098,           0.0045812,                   0,             0.99855,             0.99926,             0.99499,             0.76708,             0.01235,           0.0023506,                   0,            0.000208,            0.000208,            0.000208
